State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Karnataka,BAGALKOT,1998,Kharif     ,Bajra,48855,25000
Karnataka,BAGALKOT,1998,Kharif     ,Groundnut,16368,7734
Karnataka,BAGALKOT,1998,Kharif     ,Jowar,12363,24855
Karnataka,BAGALKOT,1998,Kharif     ,Onion,3090,14100
Karnataka,BAGALKOT,1998,Kharif     ,Rice,197,316
Karnataka,BAGALKOT,1998,Kharif     ,Soyabean,5221,3854
Karnataka,BAGALKOT,1998,Rabi       ,Groundnut,15849,24166
Karnataka,BAGALKOT,1998,Rabi       ,Jowar,152540,120840
Karnataka,BAGALKOT,1998,Rabi       ,Onion,1226,16070
Karnataka,BAGALKOT,1998,Rabi       ,Wheat,22207,28030
Karnataka,BAGALKOT,1998,Summer     ,Onion,1032,15017
Karnataka,BAGALKOT,1998,Whole Year ,Coconut ,571,2728
Karnataka,BAGALKOT,1998,Whole Year ,Coriander,43,4
Karnataka,BAGALKOT,1998,Whole Year ,Dry chillies,619,816
Karnataka,BAGALKOT,1998,Whole Year ,Garlic,30,25
Karnataka,BAGALKOT,1998,Whole Year ,Turmeric,305,1872
Karnataka,BAGALKOT,1999,Kharif     ,Bajra,41122,29929
Karnataka,BAGALKOT,1999,Kharif     ,Groundnut,13284,7326
Karnataka,BAGALKOT,1999,Kharif     ,Jowar,11598,21354
Karnataka,BAGALKOT,1999,Kharif     ,Rice,128,202
Karnataka,BAGALKOT,1999,Kharif     ,Soyabean,5098,4262
Karnataka,BAGALKOT,1999,Rabi       ,Groundnut,15530,20537
Karnataka,BAGALKOT,1999,Rabi       ,Jowar,160974,147679
Karnataka,BAGALKOT,1999,Rabi       ,Wheat,21584,29875
Karnataka,BAGALKOT,1999,Whole Year ,Banana,954,23628
Karnataka,BAGALKOT,1999,Whole Year ,Coconut ,1283,6130
Karnataka,BAGALKOT,1999,Whole Year ,Coriander,31,3
Karnataka,BAGALKOT,1999,Whole Year ,Dry chillies,579,595
Karnataka,BAGALKOT,1999,Whole Year ,Garlic,30,25
Karnataka,BAGALKOT,1999,Whole Year ,Onion,3614,52778
Karnataka,BAGALKOT,1999,Whole Year ,Sugarcane,53888,6143232
Karnataka,BAGALKOT,1999,Whole Year ,Turmeric,310,1684
Karnataka,BAGALKOT,2000,Kharif     ,Bajra,41232,41300
Karnataka,BAGALKOT,2000,Kharif     ,Groundnut,14487,9664
Karnataka,BAGALKOT,2000,Kharif     ,Jowar,11375,22359
Karnataka,BAGALKOT,2000,Kharif     ,Rice,171,311
Karnataka,BAGALKOT,2000,Kharif     ,Soyabean,4743,4749
Karnataka,BAGALKOT,2000,Rabi       ,Groundnut,11875,17305
Karnataka,BAGALKOT,2000,Rabi       ,Jowar,132473,94603
Karnataka,BAGALKOT,2000,Rabi       ,Wheat,23969,37181
Karnataka,BAGALKOT,2000,Whole Year ,Banana,872,14647
Karnataka,BAGALKOT,2000,Whole Year ,Coconut ,1312,6268
Karnataka,BAGALKOT,2000,Whole Year ,Coriander,34,3
Karnataka,BAGALKOT,2000,Whole Year ,Dry chillies,756,654
Karnataka,BAGALKOT,2000,Whole Year ,Garlic,27,22
Karnataka,BAGALKOT,2000,Whole Year ,Onion,3819,33520
Karnataka,BAGALKOT,2000,Whole Year ,Sugarcane,62050,7014752
Karnataka,BAGALKOT,2000,Whole Year ,Turmeric,301,1476
Karnataka,BAGALKOT,2001,Kharif     ,Bajra,15169,11519
Karnataka,BAGALKOT,2001,Kharif     ,Groundnut,14509,17691
Karnataka,BAGALKOT,2001,Kharif     ,Jowar,6786,12064
